koi_score,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,O/P
0,6.998099523,6.502574,22.19119,588.66,0.0698,853,125.22,38.6,1,5612,4.566,-0.12,0.829,0.926,N
1,5.95489993,0.033728,3.48052,2.33,0.0554,635,38.52,18.69,3,4261,4.641,-0.06,0.633,0.64,N
1,12.03987488,0.031605,4.82896,2.18,0.0886,502,15.06,33.32,3,4261,4.641,-0.06,0.633,0.64,N
0.998,20.83762895,0.020532,5.25789,1.42,0.1278,418,7.24,49.4,3,4261,4.641,-0.06,0.633,0.64,N
0,8.8111022,0.242511,0.00762,63.66,0.0919,1399,904.92,3.15,1,6200,3.8,-0.12,2.404,1.333,N
1,23.58917143,0.040151,0.16337,3.16,0.1429,487,13.34,16.88,1,4919,4.566,-0.24,0.721,0.697,N
1,6.481633073,0.017836,0.20633,2.54,0.0683,1145,406.25,7.71,2,5945,4.213,-0.08,1.302,1.009,N
1,10.37168928,0.033023,2.15323,3.2,0.0873,720,63.68,23,2,5121,4.457,0.18,0.888,0.822,N
1,3.96996298,0.018305,4.07984,1.78,0.046,992,229.37,15.04,2,5121,4.457,0.18,0.888,0.822,N
1,4.40841331,0.025379,0.03994,2.66,0.052,1139,398,3.45,1,6007,4.457,-0.24,0.961,0.968,N
0,7.9426176,0.046289,0.02282,4.68,0.0789,878,140.57,4.238,1,5811,4.521,0.07,0.926,1.036,N
1,226.8904775,0.055361,1.95932,4.53,0.6732,236,0.73,174.7,2,5067,4.585,-0.08,0.75,0.789,N
0,1.956811408,0.327759,0.72779,21.58,0.0259,1109,357.16,5.28,1,5209,4.657,-1.24,0.603,0.602,N
0.997,2.688899233,0.172543,3.89722,12.04,0.0335,929,175.76,11.4204,1,4820,4.667,-0.4,0.639,0.699,N
1,9.439459486,0.048953,3.76657,4.16,0.0837,686,52.32,26.081,3,5097,4.597,0.21,0.779,0.891,N
1,11.52306746,0.020288,1.77474,3.13,0.1017,927,174.81,23.181,1,5644,4.162,0.3,1.411,1.053,N
0,20.47748843,0.034376,5.64738,2.92,0.1402,530,18.65,50,3,5097,4.597,0.21,0.779,0.891,N
1,3.336123113,0.020396,3.61764,1.74,0.0418,970,209.79,12.86,3,5097,4.597,0.21,0.779,0.891,N
1,8.01078456,0.03347,5.73059,1.72,0.0616,453,9.9,26.89,3,3713,4.779,-0.12,0.47,0.484,N
1,12.07134205,0.025158,1.35939,1.29,0.0809,395,5.74,21.878,3,3713,4.779,-0.12,0.47,0.484,N
0.986,20.99587872,0.025412,9.69398,1.3,0.117,328,2.74,60.9,3,3713,4.779,-0.12,0.47,0.484,N
1,7.41113177,0.024438,1.56072,2.45,0.0748,905,158.11,16.55,1,5849,4.517,-0.02,0.919,1.014,N
0,1.000747038,0.047993,1.32454,4.14,0.0175,1620,1635.2,4.12,1,5472,4.499,-0.54,0.79,0.718,N
